"Monster","Name","Description","Type","Tier","Comp%"
"Aberrant Spectre","Noxious Foe","Kill an Aberrant Spectre.","Kill Count","Easy (1 pt)","69.9%"
"Barrows","Defence? What Defence?","Kill any Barrows Brother using only magical damage.","Restriction","Easy (1 pt)","74.4%"
"Barrows","Barrows Novice","Open the Barrows chest 10 times.","Kill Count","Easy (1 pt)","66.1%"
"Black Dragon","Big, Black and Fiery","Kill a Black Dragon.","Kill Count","Easy (1 pt)","80.9%"
"Bloodveld","The Demonic Punching Bag","Kill a Bloodveld.","Kill Count","Easy (1 pt)","79.5%"
"Brutus","Brutus Novice","Kill Brutus.","Kill Count","Easy (1 pt)","54%"
"Bryophyta","A Slow Death","Kill Bryophyta with either poison or venom being the final source of damage.","Restriction","Easy (1 pt)","35.8%"
"Bryophyta","Protection from Moss","Kill Bryophyta with the Protect from Magic prayer active.","Mechanical","Easy (1 pt)","42.6%"
"Bryophyta","Preparation Is Key","Kill Bryophyta without suffering any poison damage.","Perfection","Easy (1 pt)","45%"
"Bryophyta","Bryophyta Novice","Open Bryophyta's chest once.","Kill Count","Easy (1 pt)","47.7%"
"Bryophyta","Fighting as Intended II","Kill Bryophyta on a free to play world.","Restriction","Easy (1 pt)","34.7%"
"Deranged Archaeologist","Deranged Archaeologist Novice","Kill the Deranged Archaeologist 10 times.","Kill Count","Easy (1 pt)","39.4%"
"Fire Giant","The Walking Volcano","Kill a Fire Giant.","Kill Count","Easy (1 pt)","83.7%"
"Giant Mole","Giant Mole Novice","Kill the Giant Mole 10 times.","Kill Count","Easy (1 pt)","44.7%"
"Giants","Into the Den of Giants","Kill a Hill Giant, Moss Giant and Fire Giant in the Giant Cave within the Shayzien region.","Kill Count","Easy (1 pt)","38.4%"
"Greater Demon","Not So Great After All","Finish off a Greater Demon with a demonbane weapon.","Restriction","Easy (1 pt)","61.9%"
"Greater Demon","A Greater Foe","Kill a Greater Demon.","Kill Count","Easy (1 pt)","79.9%"
"Hellhound","A Demon's Best Friend","Kill a Hellhound.","Kill Count","Easy (1 pt)","80.5%"
"King Black Dragon","King Black Dragon Novice","Kill the King Black Dragon 10 times.","Kill Count","Easy (1 pt)","43.4%"
"Lizardman Shaman","A Scaley Encounter","Kill a Lizardman Shaman.","Kill Count","Easy (1 pt)","59.1%"
"Lizardman Shaman","Shayzien Protector","Kill a Lizardman Shaman in Molch which has not dealt damage to anyone (excluding its Spawns).","Perfection","Easy (1 pt)","43.3%"
"Obor","Fighting as Intended","Kill Obor on a free to play world.","Restriction","Easy (1 pt)","33.4%"
"Obor","Obor Novice","Open Obor's chest once.","Kill Count","Easy (1 pt)","47%"
"Obor","Sleeping Giant","Kill Obor whilst he is immobilized.","Mechanical","Easy (1 pt)","34.8%"
"Royal Titans","Let them fight","Kill the Royal Titans while having the Royal Titans kill a total of 10 elementals.","Restriction","Easy (1 pt)","36%"
"Royal Titans","One by one","Kill one Titan at a time, without attacking the other.","Restriction","Easy (1 pt)","34.7%"
"Royal Titans","Elemental Company","Kill the Royal Titans without attacking any elementals.","Restriction","Easy (1 pt)","36.7%"
"Sarachnis","Sarachnis Novice","Kill Sarachnis 10 times.","Kill Count","Easy (1 pt)","41.4%"
"Scurrius","Sit Rat","Finish off Scurrius with a ratbane weapon in a private instance.","Restriction","Easy (1 pt)","37.3%"
"Scurrius","Scurrius Novice","Kill Scurrius once.","Kill Count","Easy (1 pt)","57.2%"
"Shellbane gryphon","Dry Cleaning","Kill the Shellbane Gryphon after clearing its corrosive spit from your armour.","Mechanical","Easy (1 pt)","14.5%"
"Shellbane gryphon","Shellbane Adept","Kill the Shellbane Gryphon 25 times.","Kill Count","Easy (1 pt)","20.9%"
"Tempoross","Master of Buckets","Extinguish at least 5 fires during a single Tempoross fight.","Mechanical","Easy (1 pt)","60.9%"
"Tempoross","Fire in the Hole!","Attack Tempoross from both sides by loading both cannons on both ships.","Mechanical","Easy (1 pt)","40.1%"
"Tempoross","Calm Before the Storm","Repair either a mast or a totem pole.","Mechanical","Easy (1 pt)","66.7%"
"Tempoross","Tempoross Novice","Subdue Tempoross 5 times.","Kill Count","Easy (1 pt)","70.1%"
"Wintertodt","Cosy","Subdue the Wintertodt with four pieces of warm equipment equipped.","Restriction","Easy (1 pt)","77.4%"
"Wintertodt","Mummy!","Heal a pyromancer after they have fallen.","Mechanical","Easy (1 pt)","56.7%"
"Wintertodt","Wintertodt Novice","Subdue the Wintertodt 5 times.","Kill Count","Easy (1 pt)","82%"
"Wintertodt","Handyman","Repair a brazier which has been destroyed by the Wintertodt.","Mechanical","Easy (1 pt)","77.1%"
"Wyrm","A Slithery Encounter","Kill a Wyrm.","Kill Count","Easy (1 pt)","69%"
"Amoxliatl","Temotli Triumph","Kill Amoxliatl using only glacial temotli as a weapon.","Restriction","Medium (2 pts)","25.8%"
"Amoxliatl","Amoxliatl Champion","Kill Amoxliatl once.","Kill Count","Medium (2 pts)","40.8%"
"Barrows","Pray for Success","Kill all six Barrows Brothers and loot the Barrows chest without taking any damage from any of the brothers.","Perfection","Medium (2 pts)","55.6%"
"Barrows","Can't Touch Me","Kill Dharok, Verac, Torag and Guthan without letting them attack you with melee.","Mechanical","Medium (2 pts)","29.1%"
"Barrows","Barrows Champion","Open the Barrows chest 25 times.","Kill Count","Medium (2 pts)","59.6%"
"Brutal Black Dragon","Brutal, Big, Black and Firey","Kill a Brutal Black Dragon.","Kill Count","Medium (2 pts)","41%"
"Brutus","Brutus Champion","Kill Brutus 10 times.","Kill Count","Medium (2 pts)","51.1%"
"Brutus","Beef vs Beef","Kill Brutus whilst neither equipping nor consuming anything.","Perfection","Medium (2 pts)","36.6%"
"Bryophyta","Bryophyta Champion","Open Bryophyta's chest 5 times.","Kill Count","Medium (2 pts)","31.5%"
"Bryophyta","Quick Cutter","Kill all 3 of Bryophyta's growthlings within 3 seconds of the first one dying.","Mechanical","Medium (2 pts)","38.9%"
"Chaos Fanatic","Sorry, What Was That?","Kill the Chaos Fanatic without anyone being hit by his explosion attack.","Perfection","Medium (2 pts)","35.5%"
"Chaos Fanatic","Chaos Fanatic Champion","Kill the Chaos Fanatic 10 times.","Kill Count","Medium (2 pts)","29.8%"
"Crazy Archaeologist","Mage of the Ruins","Kill the Crazy Archaeologist with only magical attacks.","Mechanical","Medium (2 pts)","50.5%"
"Crazy Archaeologist","I'd Rather Not Learn","Kill the Crazy Archaeologist without anyone being hit by his ""Rain of Knowledge"" attack.","Perfection","Medium (2 pts)","43%"
"Crazy Archaeologist","Crazy Archaeologist Champion","Kill the Crazy Archaeologist 10 times.","Kill Count","Medium (2 pts)","42.9%"
"Dagannoth Prime","Dagannoth Prime Champion","Kill Dagannoth Prime 10 times.","Kill Count","Medium (2 pts)","36.6%"
"Dagannoth Rex","Dagannoth Rex Champion","Kill Dagannoth Rex 10 times.","Kill Count","Medium (2 pts)","51.1%"
